id,gpa,ses,achievement,homework
7232819,6.75,-0.733,55.1545,2
7233625,5.5,1.65,57.8455,5
7233638,6,0.653,49.97975,1
7237741,,-1.207,46.59375,
7238404,3,-1.665,43.2965,3
7238488,7,0.808,43.672,1
7238492,5,1.206,36.75875,2
7238548,5,-1.167,37.58225,
7238559,4.5,-0.438,39.02125,1
7238573,4.5,-0.105,34.444,
7239122,6,0.235,55.56325,1
7239147,5.5,0.461,35.60975,1
7241038,4.5,0.614,52.024,2
7241091,6,1.313,57.79025,1
7241143,6,0.072,61.5115,2
7244051,6.5,-0.488,52.92125,3
7245520,4,0.581,41.351,2
7245531,7.25,0.838,61.72225,5
7245555,6.75,0.219,55.5665,4
7245585,5.25,0.243,55.8335,4
7245597,5.25,0.504,52.98825,1
7247159,8,-0.303,64.63025,6
7247166,,-0.786,51.455,1
7248639,3.5,-0.044,50.8205,2
7248649,2.5,0.178,54.20525,1
7248689,7.5,0.48,64.72125,4
7250038,4.75,-1.009,42.9485,1
7251633,8,1.065,67.49825,5
7251653,7,0.009,61.15925,6
7251682,5.75,-0.294,46.0095,3
7252836,6.75,-0.514,45.91125,2
7252876,5.25,-0.376,55.011,1
7255722,4.3333333,-0.41,56.3915,0
7255796,4.75,0.581,57.11425,3
7258013,5,-0.475,65.97675,5
7258020,7.25,1.154,64.748,7
7258021,6,0.309,47.9685,2
7261266,6.25,-0.49,57.226,5
7261284,5.75,-0.139,,4
7261290,6.5,-0.224,66.29275,2
7261704,7,-1.292,36.21675,1
7261713,6.3333333,0.026,45.90175,2
7263388,7,-0.126,63.21825,5
7265112,6.25,0.35,50.416,3
7266830,5,0.515,43.67775,2
7266867,6.5,-1.204,42.1365,0
7266872,3.5,0.503,49.472,2
7266897,4.5,-0.291,47.12825,2
7269811,7,0.154,66.48875,1
7269862,4.5,0.806,38.306,4
7271509,4.25,-0.723,31.43525,2
7271571,5.25,0.365,64.43575,1
7273075,7,0.35,49.493,5
7274609,7.25,1.422,67.41925,2
7275653,6.5,0.004,55.47525,2
7275658,7,1.174,68.076,3
7275936,,1.169,49.883,
7276195,5.5,1.052,56.2225,6
7277659,5.5,-0.374,44.63875,2
7278538,6.5,-0.023,41.406,0
7279280,3.5,-0.149,,1
7279996,6.5,-0.178,37.0135,1
7280322,,-0.577,,
7280329,6.25,-0.078,51.73775,3
7280346,7.25,-0.514,64.44175,3
7280829,5.75,0.535,57.35825,7
7281061,4,-0.02,50.53425,2
7282879,5.5,-0.906,49.89475,0
7283301,6,-0.165,57.768,2
7283389,7.25,-0.504,60.81425,7
7283417,5.25,0.725,49.023,1
7285084,7.25,-0.192,45.94975,1
7285096,4,-0.802,58.443,1
7286534,7,0.822,66.18,7
7286573,6,-0.378,51.5535,3
7286591,5.25,1.11,61.96325,6
7288216,5.75,-0.045,56.87175,4
7290614,5.5,1.099,51.98425,4
7290617,7,0.83,60.3855,2
7290624,5.75,0.588,56.625,3
7290692,7.75,1.152,67.42525,3
7291484,4,-1.073,51.93825,2
7291724,6.75,-0.261,49.317,3
7295661,5.25,0.317,49.77625,5
7295672,5,0.213,46.02,2
7295762,7,-0.161,56.99725,1
7299162,4.75,-1.01,43.18575,3
7299177,5.25,0.461,55.2045,3
7706946,6.75,0.513,58.65975,1
7709876,5.6666667,0.105,41.26425,2
7710903,4.75,-0.758,47.1285,1
7717802,3.75,-0.122,46.563,
7718675,,-0.329,,
7719733,6,-0.722,55.494,3
7720457,6,0.438,38.051,1
7720464,6.25,0.912,41.716,2
7721921,3.6666667,0.229,41.57775,4
7722296,4.75,-1.167,45.4215,3
7726816,3,-0.098,40.918,0
7726848,7.5,0.088,54.82825,2
7726891,6.75,0.164,56.26075,3
7728548,7.5,0.276,52.684,7
7728593,,-0.953,41.76175,
7730490,7.25,-0.37,59.001,5
7732804,7.25,0.871,60.92225,2
7734275,3.25,-0.663,43.89525,1
7735102,6.5,0.483,61.8065,3
7736913,,0.2,48.03925,
7736999,4.75,-0.133,53.29375,1
7740065,5.75,-0.216,49.4115,6
7745606,5.75,-0.555,,1
7746040,7,0.151,41.293,1
7746097,,-0.421,64.91125,
7751823,8,-1.033,56.78875,7
7751830,4.3333333,-0.115,38.70675,1
7751873,8,0.989,58.037,6
7751894,6.5,0.25,49.94025,5
7754204,5,0.786,49.75525,2
7757158,8,1.799,68.277,6
7757177,8,1.176,57.37625,2
7759071,5,-0.272,43.50125,2
7759080,4,0.276,45.59225,2
7765988,,-1.333,47.64775,
7765992,5.5,-0.442,54.28675,2
7767371,6.5,0.678,64.21175,2
7771093,7.25,-0.513,60.8155,2
7771118,4.5,-0.452,39.00925,0
7774906,8,0.313,63.96,2
7774954,4,0.581,49.63075,1
7776928,6.25,0.128,62.23675,6
7776938,6.75,1.164,68.176,5
7776963,3,1.438,60.324,1
7776966,7.25,1.345,54.73025,2
7780728,6.75,-0.114,61.04175,2
7784247,6.5,-0.022,60.4765,1
7784294,2,0.229,41.07675,1
7785080,6.75,0.633,59.5435,6
7785097,7.25,-0.429,56.04525,2
7786509,5,-2.414,42.29675,3
7786578,7,-0.135,57.0575,3
7788037,6.3333333,0.516,63.865,3
7788095,2.6666667,-0.291,35.3955,1
7794922,5.75,0.687,49.70525,3
7794938,7.3333333,1.172,60.245,2
7798759,7.3333333,0.597,49.72375,5
7801193,7,-0.499,51.427,3
7806191,7.75,0.503,47.369,3
7807709,8,0.033,61.85625,6
7807788,7.25,-0.26,50.161,3
7808117,6.25,-0.784,41.37575,2
7810125,6.6666667,-1.204,58.122,4
7810130,5.5,0.808,51.5225,5
7810193,3.75,0.6,54.471,2
7813134,4,-0.619,,0
7813199,5,-0.288,,1
7813746,,-1.292,51.0295,
7813787,3,-0.042,48.27375,1
7813860,8,-0.142,60.23525,3
7814846,3.25,-0.374,60.24475,1
7814869,5.25,0.036,38.9805,2
7817906,8,0.101,57.1675,1
7817990,7.25,-0.254,50.71,2
7820552,5.5,0.767,42.232,2
7820578,5.75,0.186,56.63275,2
7820707,3.5,-1.004,46.317,1
7820753,3.6666667,-0.374,48.07775,3
7823206,5.5,0.626,61.5775,3
7828364,7.25,0.475,47.65475,1
7831179,4.75,-0.563,46.0035,1
7831192,4.25,-0.224,59.7355,1
7832001,7.75,0.173,66.20475,2
7832025,6.5,0.03,58.90425,2
7835693,,-0.919,41.19,
7837288,5.5,-1.032,50.14475,2
7837433,8,0.852,63.2375,5
7837456,5.3333333,-0.234,49.62475,1
7837620,3.25,-0.449,50.82975,3
7837633,5.3333333,0.515,47.11775,2
7846376,3.75,-0.042,55.8475,2
7848016,5.25,-0.129,42.67275,2
7850421,7,-0.298,59.67025,1
7850483,6,-0.384,57.641,7
7850532,7.25,0.486,43.35425,2
7850589,5,-1.204,31.96975,
7850700,4.5,-0.413,46.9705,3
7853304,4.75,-0.485,50.925,7
7853343,7,-1.098,41.87175,1
7854452,5.75,-0.668,43.1935,4
7856258,7.5,0.063,63.00125,6
7859818,4.25,0.134,,2
7859840,6.3333333,0.313,52.80375,3
7859878,5.25,-0.194,37.713,1
7862405,4,-1.042,39.95675,2
7862491,6.5,1.152,61.472,0
7865138,6.75,-0.561,54.8065,1
7868911,4.75,-0.756,42.30475,2
7868923,7,-0.168,57.396,5
7868946,6.5,-0.161,54.82,2
7869332,8,-0.567,59.09525,0
7870581,7,0.398,50.6345,4
7870598,3.6666667,-0.122,38.5305,0
7877815,8,0.344,62.36175,2
7877852,6,1.155,41.62925,7
7879996,8,-0.435,59.754,1
7888605,7.3333333,0.079,63.16975,3
7888609,7.25,0.144,56.39275,3
7888629,8,1.553,68.22275,1
7895620,6.5,-0.007,61.716,5
7895660,5.25,-0.026,59.214,2
7898483,6,-0.784,32.35575,5
7898485,5,-0.674,41.3795,1
7898493,6,-1.04,50.74775,2
7899004,6.25,0.381,54.8355,3
7908655,,0.934,54.55825,2
7927678,6.25,0.864,47.08325,
7935249,4.5,0.485,52.58075,7
7938980,4,-0.02,36.2035,6
7955944,,0.03,,
7955946,1.6666667,0.482,42.42425,3
8472849,6.5,-0.683,56.3195,6
8478196,6.5,1.874,56.5355,6
9112378,6.5,0.449,63.74325,3
9158603,7,0.917,61.32075,5
9194767,5,0.601,62.091,4
9194793,7.75,0.931,53.14025,7
9196957,6.25,0.45,54.39075,3
9196982,5.75,1.401,59.7115,6
9199119,8,1.799,66.9115,4
9199152,7.25,0.357,65.184,6
