character,comic,reality,identity,alignment,eye_color,hair_color,sex,lgbtq,lgbtq_note,alive,appearances,first_appear_date,first_appear_year
Duncan Pramble,DC,New Earth,Secret Identity,Bad,Hazel,,Male,No,,Living,46,"1960, July",1960
Duncan Sebast,Marvel,Earth-616,Public Identity,,,Brown,Male,No,,Deceased,1,"2022, April 02",2002
Duncan Vess,Marvel,Earth-616,Public Identity,,Brown,Black,Male,No,,Living,2,"1999, December 01",1999
Dungeon,DC,New Earth,,Bad,,,,No,,Living,,"1996, April",1996
Dunleavy,Marvel,Earth-616,Public Identity,,,White,Male,No,,Living,3,"1997, June 01",1997
Dunn,Marvel,Earth-616,Public Identity,,,Grey,Male,No,,Living,1,"1966, July 01",1966
Duntumbla,Marvel,Earth-616,No Dual Identity,Neutral,,Brown,,No,,Living,1,"1994, May 01",1994
Dunya Mishkin,DC,New Earth,,Bad,,,Female,No,,Deceased,5,"1981, June",1981
Dupen'th,Marvel,Earth-616,Public Identity,,,,Male,No,,Living,,"1988, October 01",1988
DuPrey,Marvel,Earth-616,Secret Identity,Bad,,Blond,Male,No,,Deceased,3,"1995, April 01",1995
Duran,DC,New Earth,Public Identity,Bad,Brown,Black,Male,No,,Living,1,"2000, August",2000
Durango the Killer,Marvel,Earth-616,Public Identity,Bad,,Black,Male,No,,Living,1,"1948, September 01",1948
Durok,Marvel,Earth-616,,Bad,Red,No Hair,Male,No,,Deceased,5,"1971, August 01",1971
Duron,Marvel,Earth-616,Public Identity,Neutral,,Brown,Male,No,,Deceased,1,"1972, April 01",1972
Durvella Cwion,DC,New Earth,Public Identity,Neutral,Blue,Blond,Female,No,,Living,3,"2010, December",2010
Dusan al Ghul,DC,New Earth,Secret Identity,Bad,Black,White,Male,No,,Deceased,4,"2007, October",2007
Dusk (Demon),Marvel,Earth-616,,Bad,,,,No,,Living,9,"1994, January 01",1994
Dusk (Hellbent),Marvel,Earth-616,,Bad,,Bald,Female,No,,Living,1,"1993, December 01",1993
Dust (Dazzler Foe),Marvel,Earth-616,,Bad,,,Male,No,,Living,5,"1985, July 01",1985
Dust Devil,DC,New Earth,Secret Identity,Bad,,Black,Female,No,,Living,3,"2010, April",2010
Dutch Hansen,Marvel,Earth-616,No Dual Identity,Bad,,,Male,No,,Deceased,1,"1939, October 01",1939
Dutch Rosenblatt,Marvel,Earth-616,No Dual Identity,Bad,,Red,Male,No,,Living,1,"1990, December 01",1990
Dutta,Marvel,Earth-616,,Bad,Brown,Brown,Male,No,,Living,1,"1985, November 01",1985
Duvid Fortunov,Marvel,Earth-616,Public Identity,Good,Blue,Brown,Male,No,,Living,57,"1975, August 01",1975
Dvorcek,DC,New Earth,,Bad,,,Male,No,,Living,1,"2009, July",2009
Dwaine Hess,Marvel,Earth-616,Secret Identity,Bad,,,Male,No,,Living,3,"1988, September 01",1988
Dwarf,Marvel,Earth-616,Secret Identity,Bad,Black,Black,Male,No,,Living,9,"1992, August 01",1992
Dwayne Geyer,DC,New Earth,Secret Identity,Good,,Brown,Male,No,,Deceased,14,"1993, September",1993
Dwayne Taylor,Marvel,Earth-616,Secret Identity,Good,Brown,Black,Male,No,,Deceased,169,"1989, December 01",1989
Dwayne Wainwright,DC,New Earth,,Bad,White,Blond,Male,No,,Living,16,"1989, October",1989
Dweller-in-Darkness,Marvel,Earth-616,Secret Identity,Bad,Yellow,No Hair,Male,No,,Living,18,"1974, November 01",1974
Dwight D. Eisenhower,Marvel,Earth-616,No Dual Identity,Good,,Grey,Male,No,,Living,3,,
Dwight Eisenhower,DC,New Earth,Public Identity,Good,Blue,,Male,No,,Living,9,"1950, July",1950
Dwight Faron,Marvel,Earth-616,Public Identity,Bad,,Black,Male,No,,Living,5,"1993, March 01",1993
Dwight Hubbard,Marvel,Earth-616,Secret Identity,Bad,,Bald,Male,No,,Living,13,"1990, October 01",1990
Dwight Stanford,Marvel,Earth-616,Public Identity,,,Red,Male,No,,Living,1,"1979, March 01",1979
Dwight Sykes,DC,New Earth,Public Identity,Good,,Black,Male,No,,Living,6,"1990, March",1990
Dybbuk,DC,New Earth,,Good,,,Male,No,,Living,5,"1990, September",1990
Dyctinna,DC,New Earth,,Good,,Black,Female,No,,Living,1,"1990, November",1990
Dyke,Marvel,Earth-616,,Good,,,Female,No,,Living,1,"1990, February 01",1990
Dykon,Marvel,Earth-616,,,,Grey,Male,No,,Living,6,"1989, September 01",1989
Dylan Maguire,Marvel,Earth-616,Public Identity,Good,,Blond,Male,No,,Living,5,"2022, July 02",2002
Dylan Mason,Marvel,Earth-616,No Dual Identity,Good,Brown,Brown,Male,No,,Living,1,,
Dylon-Cir,Marvel,Earth-616,Secret Identity,Bad,,Brown,Male,No,,Deceased,9,"1993, July 01",1993
Dymphna,Marvel,Earth-616,,,,,Female,No,,Living,1,"1994, October 01",1994
Dyn-Xe,DC,New Earth,Public Identity,Good,,Blond,Male,No,,Living,1,"2009, September",2009
Dynamic Man,Marvel,Earth-616,Secret Identity,Bad,Blue,Blond,Male,No,,Deceased,18,"1940, March 01",1940
Dynamo (Habit Heroes),Marvel,Earth-616,Secret Identity,Good,Blue,Blond,Male,No,,Living,1,,
Dynamole,DC,New Earth,Secret Identity,Good,,,Male,No,,Living,1,"2006, October",2006
Dynorr,Marvel,Earth-616,Public Identity,,,No Hair,Male,No,,Living,4,"1969, September 01",1969
Dyskor,Marvel,Earth-616,,Bad,,No Hair,Male,No,,Living,1,"1993, July 01",1993
Dyvyne,Marvel,Earth-616,Public Identity,Bad,Yellow,No Hair,Male,No,,Living,4,"1985, May 01",1985
Dzemal,Marvel,Earth-616,Secret Identity,,,Brown,Male,No,,Living,4,"2022, June 04",2004
Dzirot,Marvel,Earth-616,Public Identity,Bad,Green,No Hair,Male,No,,Deceased,1,"2022, October 08",2008
Dzyan,Marvel,Earth-616,,,,,,No,,Living,1,"2022, January 07",2007
E. Wilbur Wolfingham,DC,New Earth,Public Identity,,,Brown,Male,No,,Living,3,"1999, August",1999
E.B. Farrell,Marvel,Earth-616,Secret Identity,Good,,Blond,Male,No,,Living,2,"2000, November 01",2000
E.S. Pete,DC,New Earth,Secret Identity,Good,,Black,Male,No,,Living,1,"2006, October",2006
E.V.A.,Marvel,Earth-616,Secret Identity,Good,,No Hair,Female,No,,Living,60,"2022, September 02",2002
Ea,Marvel,Earth-616,Secret Identity,Neutral,,,,No,,Living,4,"2022, July 08",2008
Eadmund Porlock,Marvel,Earth-616,Public Identity,Bad,Hazel,Brown,Male,No,,Living,30,"1992, July 01",1992
Eagle (Arrowhead),Marvel,Earth-616,Public Identity,Good,,,Male,No,,Living,12,"1954, April 01",1954
Eagle (Matt Slade),Marvel,Earth-616,Public Identity,Good,,Grey,Male,No,,Living,6,"1956, July 01",1956
Eagle (Tough Kid Squad),Marvel,Earth-616,Public Identity,Good,,Red,Male,No,,Living,1,"1942, March 01",1942
Eaglus,Marvel,Earth-616,Secret Identity,,,,Male,No,,Living,1,"1974, July 01",1974
Eamon Garcia,DC,New Earth,Secret Identity,Bad,Black,,Male,No,,Living,2,"2005, May",2005
Eamon O'Donnell,Marvel,Earth-616,Public Identity,Good,,,Male,No,,Living,,"1976, October 01",1976
Eamonn,Marvel,Earth-616,,Good,,,Male,No,,Deceased,4,"2000, March 01",2000
Earl,Marvel,Earth-616,Public Identity,,,,Male,No,,Living,3,"1996, January 01",1996
Earl Clifford,DC,New Earth,,Good,Brown,Black,Male,No,,Deceased,5,"1977, April",1977
Earl Cowan,Marvel,Earth-616,Public Identity,Bad,,Brown,Male,No,,Living,3,"1980, July 01",1980
Earl Dukeston,DC,New Earth,,Bad,Blue,Red,Male,No,,Living,10,"1986, April",1986
Earl Everett,Marvel,Earth-616,Secret Identity,Good,Brown,Brown,Male,No,,Living,17,"1940, April 01",1940
Earl Flatt,Marvel,Earth-616,Secret Identity,Bad,,Black,Male,No,,Living,1,"1995, May 01",1995
Earl Gustav,Marvel,Earth-616,Public Identity,Bad,,Bald,Male,No,,Living,5,"2022, December 05",2005
Earl James,DC,New Earth,,Good,,Black,Male,No,,Deceased,3,"1999, April",1999
Earl Povich,DC,New Earth,,Bad,Blue,Black,Male,No,,Living,1,1997,1997
Earth (Elementals),Marvel,Earth-616,,Neutral,,,,No,,Living,2,"1981, July 01",1981
Earthquake,Marvel,Earth-616,Secret Identity,Neutral,Black,No Hair,Male,No,,Living,26,"1980, September 01",1980
Ebeneezer Badde,DC,New Earth,Secret Identity,Bad,Black,Black,Male,No,,Living,1,"2005, August",2005
Ebeneezer Darrk,DC,New Earth,Public Identity,Bad,,,Male,No,,Deceased,6,"1970, November",1970
Ebeneezer Wallaby,Marvel,Earth-616,Public Identity,Neutral,,Grey,Male,No,,Living,1,"1967, August 01",1967
Ebenezer Batson,DC,New Earth,Public Identity,Bad,Black,,Male,No,,Living,16,"1995, March",1995
Ebenezer Biggs,DC,New Earth,Public Identity,Bad,Brown,Blond,Male,No,,Living,2,"1999, January",1999
Ebenezer Laughton,Marvel,Earth-616,Secret Identity,Bad,Brown,Brown,Male,No,,Living,76,"1964, March 01",1964
Ebikar Hrui,DC,New Earth,,Good,Yellow,Green,Male,No,,Deceased,2,"2000, February",2000
Eblis,Marvel,Earth-616,Secret Identity,Bad,White,No Hair,Male,No,,Living,1,"1982, September 01",1982
Ebony,Marvel,Earth-616,Secret Identity,Good,Yellow,Black,,No,,Living,33,"1970, January 01",1970
Ebony (Heroes Reborn),Marvel,Earth-616,Public Identity,Good,,,Male,No,,Living,7,"1996, November 01",1996
Ebony Maw,Marvel,Earth-616,No Dual Identity,Bad,Blue,White,Male,No,,Living,11,,
Ebora,Marvel,Earth-616,,Bad,,,Female,No,,Living,4,"1972, November 01",1972
Ebrax,DC,New Earth,Secret Identity,Bad,,Black,Male,No,,Living,,"1995, October",1995
Ebrok,Marvel,Earth-616,,,,,Male,No,,Living,2,"1974, June 01",1974
Ecce,Marvel,Earth-616,,Neutral,,,Male,No,,Living,2,"1969, September 01",1969
Echidna,DC,New Earth,,Bad,,,Female,No,,Deceased,5,"1987, December",1987
Echielias,DC,New Earth,Public Identity,Good,Red,Grey,Male,No,,Living,1,"1999, November",1999
Echson Krystal,DC,New Earth,Public Identity,,,Brown,Male,No,,Living,6,"1991, December",1991
Eckstein,DC,New Earth,,Bad,,,Male,No,,Living,1,"1996, March",1996
Eclecta,Marvel,Earth-616,Secret Identity,Neutral,,Brown,Female,No,,Living,,"2000, April 01",2000
Eclipso,DC,New Earth,Secret Identity,Bad,Red,Black,Male,No,,Living,131,"1963, July",1963
Ecliptic,Marvel,Earth-616,Secret Identity,Bad,,Grey,Female,No,,Living,2,"1997, August 01",1997
Ed (Morlock),Marvel,Earth-616,Secret Identity,Neutral,,Black,Male,No,,Living,1,,
Ed Clements,Marvel,Earth-616,No Dual Identity,Neutral,,Black,Male,No,,Living,1,"1947, January 01",1947
Ed Croesus,Marvel,Earth-616,Public Identity,Bad,,Bald,Male,No,,Living,1,"1976, July 01",1976
Ed Delaney,Marvel,Earth-616,Public Identity,Bad,,Black,Male,No,,Living,1,"1942, May 01",1942
Ed Fallon,Marvel,Earth-616,,Bad,,Brown,Male,No,,Living,1,"1946, November 01",1946
Ed Gross,Marvel,Earth-616,Public Identity,Neutral,,,Male,No,,Living,4,"2022, July 05",2005
Ed Hugo,Marvel,Earth-616,Public Identity,Bad,,Brown,Male,No,,Deceased,1,"1949, May 01",1949
Ed Jordan,Marvel,Earth-616,Public Identity,Neutral,,Black,Male,No,,Deceased,1,"1945, June 01",1945
Ed Kivlin,Marvel,Earth-616,,Bad,,Black,Male,No,,Deceased,2,"1940, February 01",1940
Ed Koch,Marvel,Earth-616,Public Identity,Neutral,,White,Male,No,,Living,5,"1979, August 01",1979
Ed Markham,DC,New Earth,,Bad,,,Male,No,,Deceased,1,"2009, October",2009
Ed Marrero,Marvel,Earth-616,Public Identity,Good,,Black,Male,No,,Living,14,"1990, February 01",1990
Ed McMahon,Marvel,Earth-616,Public Identity,Neutral,,Brown,Male,No,,Living,4,"1967, July 01",1967
Ed Rutgers,Marvel,Earth-616,Public Identity,Neutral,,White,Male,No,,Deceased,1,"1945, September 01",1945
Ed Sampson,Marvel,Earth-616,No Dual Identity,Bad,,Red,Male,No,,Deceased,1,"1947, September 01",1947
Ed Turtle,Marvel,Earth-616,Public Identity,Bad,Brown,Black,Male,No,,Living,1,"1944, December 01",1944
Ed Wheeler,Marvel,Earth-616,Public Identity,Good,,Black,Male,No,,Living,8,"1983, May 01",1983
Edam,Marvel,Earth-616,,,,Green,Male,No,,Living,1,"1965, August 01",1965
Edan Younge,Marvel,Earth-616,No Dual Identity,Bad,Blue,Black,Male,No,,Living,5,,
Edda (Watcher),Marvel,Earth-616,,Neutral,,No Hair,Male,No,,Living,1,"1991, August 01",1991
Eddie,Marvel,Earth-616,Public Identity,Good,,Black,Male,No,,Living,1,"1990, November 01",1990
Eddie (Guardsman),Marvel,Earth-616,Public Identity,,,,Male,No,,Living,1,"1988, March 01",1988
Eddie Gunnam,Marvel,Earth-616,Public Identity,Neutral,Brown,Red,Male,No,,Living,4,"2022, August 07",2007
Eddie Lorey,Marvel,Earth-616,Secret Identity,Bad,,Black,Male,No,,Living,1,"1942, January 01",1942
Eddore,DC,New Earth,Secret Identity,Good,Red,,Male,No,,Deceased,17,"1981, May",1981
Eden Fesi,Marvel,Earth-616,Secret Identity,Good,Brown,Black,Male,No,,Living,50,"2022, July 09",2009
Edgar Cizko,DC,New Earth,Secret Identity,Bad,Blue,Black,Male,No,,Living,71,"1991, May",1991
Edgar Elliot,Marvel,Earth-616,Secret Identity,Bad,,Black,Male,No,,Living,1,"1947, March 01",1947
Edgar Lascombe,Marvel,Earth-616,Secret Identity,Bad,,Brown,Male,No,,Living,8,"2022, August 05",2005
Edgar Plunder,Marvel,Earth-616,Secret Identity,Bad,Black,Grey,Male,No,,Living,46,"1966, January 01",1966
Edgar Rhodes,DC,New Earth,,,,,Male,No,,Living,1,"1978, February",1978
Edgar Warnock,DC,New Earth,,Bad,,White,Male,No,,Deceased,1,"1983, April",1983
Edie Eisenhardt,Marvel,Earth-616,,Good,Blue,Auburn,Female,No,,Deceased,4,"2022, November 08",2008
Edison,DC,New Earth,Secret Identity,Bad,Brown,Black,Male,No,,Living,10,"2006, June",2006
Edith Alton,Marvel,Earth-616,Public Identity,Good,,Blond,Female,No,,Living,4,"1940, February 01",1940
Edith Barton,Marvel,Earth-616,Public Identity,Neutral,,Blond,Female,No,,Living,2,,
Edith Harker,Marvel,Earth-616,No Dual Identity,Bad,Brown,Brown,Female,No,,Living,11,"1973, March 01",1973
Edith Harper,Marvel,Earth-616,,,,,Female,No,,Deceased,2,"2022, July 08",2008
Edith Sawyer,Marvel,Earth-616,Secret Identity,Good,Green,Red,Female,No,,Deceased,27,"2022, July 01",2001
Editor,Marvel,Earth-616,Secret Identity,Bad,,Brown,Male,No,,Living,1,"1991, November 01",1991
Edmond Atkinson,Marvel,Earth-616,,Good,Brown,Black,Male,No,,Living,3,"1997, September 01",1997
Edmond Winshed,Marvel,Earth-616,Public Identity,Neutral,,Black,Male,No,,Deceased,1,"1975, May 01",1975
Edmund,Marvel,Earth-616,Public Identity,,Black,Black,Male,No,,Living,1,"2022, February 08",2008
Edmund (Guardian Editor),Marvel,Earth-616,Public Identity,Neutral,Brown,Brown,Male,No,,Deceased,1,"2022, July 11",2011
Edmund Dorrance,DC,New Earth,Secret Identity,Bad,Brown,Blond,Male,No,,Deceased,29,"1991, January",1991
Edmund Heines,Marvel,Earth-616,No Dual Identity,,,Brown,Male,No,,Deceased,1,"2022, January 12",2012
Edmund Kenyon,Marvel,Earth-616,Public Identity,Bad,,Brown,Male,No,,Deceased,1,"1946, June 01",1946
Edna Andrews,Marvel,Earth-616,,Good,Blue,Brown,Female,No,,Living,17,"1965, December 01",1965
Edna Staples,Marvel,Earth-616,Public Identity,Good,,White,Female,No,,Deceased,8,"1991, January 01",1991
Edogawa Sangaku,DC,New Earth,,,,,Male,No,,Living,2,"2006, September",2006
Edouard Laslo,DC,New Earth,Public Identity,Neutral,Black,,Male,No,,Living,3,"1998, February",1998
Eduardo Flamingo,DC,New Earth,,Bad,,Pink,Male,No,,Living,2,"2007, July",2007
Eduardo Lobo,Marvel,Earth-616,Public Identity,,Blue,Black,Male,No,,Deceased,18,"1988, October 01",1988
Eduardo Reyes,DC,New Earth,Secret Identity,Bad,,,Male,No,,Deceased,2,"1995, February",1995
Edwar Martinez,DC,New Earth,Public Identity,Bad,Black,,Male,No,,Living,5,"2008, May",2008
Edward Arling,DC,New Earth,Public Identity,Bad,,,Male,No,,Living,2,"1988, February",1988
Edward Bentama,DC,New Earth,,Bad,,Black,Male,No,,Deceased,9,"1986, January",1986
Edward Black Wolf,Marvel,Earth-616,Secret Identity,Good,,Brown,Male,No,,Living,6,"2022, October 08",2008
Edward Bloomberg,DC,New Earth,Secret Identity,Good,Yellow,Grey,Male,No,,Deceased,111,"1984, June",1984
Edward Brecker,Marvel,Earth-616,Public Identity,Bad,Green,White,Male,No,,Living,3,"2022, November 03",2003
Edward Brock,Marvel,Earth-616,Public Identity,Neutral,Black,Blond,Male,No,,Living,318,"1986, September 01",1986
Edward Buckman,Marvel,Earth-616,Secret Identity,Bad,Blue,Blond,Male,No,,Deceased,2,"1987, February 01",1987
Edward Burk,Marvel,Earth-616,Public Identity,Bad,,Brown,Male,No,,Living,1,"1944, July 01",1944
Edward Burke,DC,New Earth,Secret Identity,Bad,,,Male,No,,Living,5,"1961, October",1961
Edward Cantwell,DC,New Earth,,Bad,,Red,Male,No,,Deceased,3,"1979, November",1979
Edward Clariss,DC,New Earth,Secret Identity,Bad,White,,Male,No,,Living,6,"1949, February",1949
Edward Cobert,Marvel,Earth-616,Public Identity,Bad,Blue,Bald,Male,No,,Living,10,"1983, December 01",1983
Edward Craig,DC,New Earth,Public Identity,Good,,,Male,No,,Deceased,13,"1983, March",1983
Edward Cross,Marvel,Earth-616,Public Identity,Bad,Blue,Bald,Male,No,,Living,3,"1989, November 01",1989
Edward Culhaney,Marvel,Earth-616,No Dual Identity,Neutral,,Black,Male,No,,Deceased,1,"1975, May 01",1975
Edward Czerniak,Marvel,Earth-616,,Good,,Bald,Male,No,,Living,1,"1981, January 01",1981
Edward Dawson,DC,New Earth,Secret Identity,Bad,Brown,Red,Male,No,,Living,18,"1967, July",1967
Edward Deacon,DC,New Earth,,Good,Blue,Blond,Male,No,,Living,20,"1971, April",1971
Edward Dyson,Marvel,Earth-616,Secret Identity,Good,,Brown,Male,No,,Living,19,"1992, November 01",1992
Edward Earhart,DC,New Earth,Public Identity,Bad,Brown,Brown,Male,No,,Living,4,"1978, March",1978
Edward Elmgren,Marvel,Earth-616,Secret Identity,Bad,,Brown,Male,No,,Deceased,2,"1942, March 01",1942
Edward English,DC,New Earth,Secret Identity,Bad,,,Male,No,,Living,2,"2010, March",2010
Edward Ferbel,Marvel,Earth-616,,Neutral,Blue,Blond,Male,No,,Living,6,"1981, September 01",1981
Edward Ferbel,DC,New Earth,Public Identity,Good,,Black,Male,No,,Living,12,"1989, January",1989
Edward Forsyth,Marvel,Earth-616,Secret Identity,Bad,,,Male,No,,Deceased,5,"1969, November 01",1969
Edward Fyers,DC,New Earth,Public Identity,Good,Blue,Brown,Male,No,,Living,64,"1987, October",1987
Edward Gardner,Marvel,Earth-616,Public Identity,Neutral,,Black,Male,No,,Living,2,"1985, October 01",1985
Edward Harrison,Marvel,Earth-616,,Good,,,Male,No,,Living,2,"1962, December 01",1962
Edward Hwang,DC,New Earth,Public Identity,Bad,,Black,Male,No,,Deceased,5,"2007, September",2007
Edward I,DC,New Earth,Public Identity,Bad,,,Male,No,,Living,1,"2011, February",2011
Edward Indelicato,DC,New Earth,,Good,,Brown,Male,No,,Living,43,"1988, April",1988
Edward Lansing,Marvel,Earth-616,No Dual Identity,Bad,Black,Black,Male,No,,Deceased,2,"1976, March 01",1976
Edward Lansky,Marvel,Earth-616,Public Identity,Neutral,Brown,Brown,Male,No,,Living,30,"1976, December 01",1976
Edward Lavell,Marvel,Earth-616,Public Identity,Bad,Brown,Brown,Male,No,,Living,43,"1983, April 01",1983
Edward Lavender,Marvel,Earth-616,,Good,,Black,Male,No,,Living,6,"1980, March 01",1980
Edward Lawton,DC,New Earth,Public Identity,Good,,,Male,No,,Deceased,2,"1988, December",1988
Edward Leeds,Marvel,Earth-616,Secret Identity,Neutral,Blue,Brown,Male,No,,Deceased,181,"1964, November 01",1964
Edward Magee,Marvel,Earth-616,,Bad,,,Male,No,,Living,1,,
Edward March,Marvel,Earth-616,Public Identity,Good,Brown,Brown,Male,No,,Living,20,"1970, January 01",1970
Edward Marks,Marvel,Earth-616,Public Identity,Good,,,Male,No,,Living,7,,
Edward McDonough,Marvel,Earth-616,Secret Identity,Good,Brown,Brown,Male,No,,Deceased,19,"1998, September 01",1998
Edward Mulligan,Marvel,Earth-616,,Neutral,Brown,No Hair,Male,No,,Living,9,"2022, October 04",2004
Edward Nashton,DC,New Earth,Public Identity,Neutral,Blue,Black,Male,No,,Living,173,"1988, January",1988
Edward Passim,Marvel,Earth-616,,,,White,Male,No,,Living,9,"1993, August 01",1993
Edward Pasternak,Marvel,Earth-616,Secret Identity,Bad,Blue,Blond,Male,No,,Deceased,13,"1986, March 01",1986
Edward Randlebuck,Marvel,Earth-616,Secret Identity,Good,,,Male,No,,Living,1,"2022, September 06",2006
Edward Raymond,DC,New Earth,Secret Identity,Good,Brown,Brown,Male,No,,Living,42,"1978, April",1978
Edward Skeevers,DC,New Earth,Public Identity,Bad,,Black,Male,No,,Deceased,2,"1999, December",1999
Edward Slick,DC,New Earth,Public Identity,Bad,,Black,Male,No,,Deceased,4,"1986, September",1986
Edward Stanford,Marvel,Earth-616,,Bad,,Brown,Male,No,,Living,1,"1981, January 01",1981
Edward Stargard,DC,New Earth,Secret Identity,Good,Black,,Male,No,,Living,5,"2005, May",2005
Edward Stark,Marvel,Earth-616,Public Identity,Good,,,Male,No,,Living,,,
Edward Tancredi,Marvel,Earth-616,Secret Identity,Good,Green,Red,Male,No,,Deceased,9,"2022, September 04",2004
Edward Trane,DC,New Earth,,Good,,White,Male,No,,Deceased,2,"1983, February",1983
Edward Valentine,DC,New Earth,Public Identity,Good,,Brown,Male,No,,Living,14,"1986, January",1986
Edward Vance,Marvel,Earth-616,,,,,Male,No,,Living,3,"2022, January 05",2005
Edward Vanelli,Marvel,Earth-616,,Bad,,,Male,No,,Living,1,"1991, January 01",1991
Edward Walker,DC,New Earth,Secret Identity,Good,Blue,Brown,Male,No,,Living,19,1993,1993
Edward Whelan,Marvel,Earth-616,Secret Identity,Neutral,Brown,Brown,Male,No,,Living,73,"1982, August 01",1982
Edward Whit,DC,New Earth,,Bad,,Red,Male,No,,Living,3,"1966, October",1966
Edward Williams,Marvel,Earth-616,Secret Identity,Bad,,,Male,No,,Living,1,"1987, August 01",1987
Edward Windhart,Marvel,Earth-616,,Bad,,,Male,No,,Living,2,"1989, May 01",1989
Edward Wolfson,DC,New Earth,Public Identity,Good,,Brown,Male,No,,Living,16,"1988, October",1988
Edward Wong,Marvel,Earth-616,Secret Identity,Good,Brown,Black,Male,No,,Living,4,"1995, January 01",1995
Edwardo Guzman,DC,New Earth,Public Identity,Bad,,Black,Male,No,,Deceased,4,"1992, April",1992
Edwin Cord,Marvel,Earth-616,No Dual Identity,Neutral,Brown,Grey,Male,No,,Living,12,"1980, November 01",1980
Edwin Gauss,DC,New Earth,Secret Identity,Bad,Brown,Black,Male,No,,Living,9,"1999, October",1999
Edwin Jarvis,Marvel,Earth-616,No Dual Identity,Good,Blue,White,Male,No,,Living,567,"1964, November 01",1964
Edwin Jarvis (Skrull),Marvel,Earth-616,Secret Identity,Bad,Green,No Hair,Male,No,,Deceased,35,"2022, March 05",2005
Edwin Martynec,Marvel,Earth-616,Secret Identity,Bad,,,Male,No,,Living,5,"1997, July 01",1997
Edwin Maxwell,Marvel,Earth-616,Public Identity,Good,,Red,Male,No,,Living,5,"1979, September 01",1979
Eel (Nazi),Marvel,Earth-616,Secret Identity,Bad,,,Male,No,,Deceased,1,"1943, March 01",1943
Eel (Surf),Marvel,Earth-616,Secret Identity,,,Black,Male,No,,Living,3,"1989, October 01",1989
Eelak,Marvel,Earth-616,No Dual Identity,Good,Yellow,Black,Male,No,,Living,9,"1995, March 01",1995
Eelar,Marvel,Earth-616,Secret Identity,Neutral,Red,No Hair,,No,,Living,1,"1975, July 01",1975
Eenie-Meenie,Marvel,Earth-616,Secret Identity,Good,,Grey,Male,No,,Living,1,"1943, May 01",1943
Effex,Marvel,Earth-616,Secret Identity,Bad,,,Male,No,,Deceased,3,"1996, November 01",1996
Efrain Normas,Marvel,Earth-616,Secret Identity,Bad,,Brown,Male,No,,Living,3,"1994, May 01",1994
Egeria,DC,New Earth,,Good,,,Female,No,,Deceased,1,1988,1988
Egeus,Marvel,Earth-616,No Dual Identity,Bad,,No Hair,Male,No,,Living,3,"1975, October 01",1975
Egg-Head,Marvel,Earth-616,,Bad,,Black,Male,No,,Living,1,"1942, June 01",1942
Eggbreaker,Marvel,Earth-616,,,,,,No,,Deceased,1,"2022, May 06",2006
Egghead (Bunsen Burners),Marvel,Earth-616,Secret Identity,Bad,,Bald,Male,No,,Living,1,"1989, September 01",1989
Egghead (Robot),Marvel,Earth-616,,Bad,Yellow,No Hair,Male,No,,Living,17,"2022, July 09",2009
Egghead's Android,Marvel,Earth-616,,Bad,,,,No,,Living,,"1964, November 01",1964
Eglantina Punnett,Marvel,Earth-616,Public Identity,Good,Blue,Blond,Female,No,,Living,4,"1996, January 01",1996
Egma,Marvel,Earth-616,,Neutral,,Bald,Male,No,,Living,1,"1991, August 01",1991
Ego,Marvel,Earth-616,No Dual Identity,,,No Hair,Male,No,,Living,53,"1966, September 01",1966
Ego Prime,Marvel,Earth-616,,,,,,No,,Living,7,"1972, May 01",1972
Egon,Marvel,Earth-616,,,,,Male,No,,Deceased,1,"1994, September 01",1994
Egron Allov,Marvel,Earth-616,,,,,Male,No,,Living,,"1971, February 01",1971
Ehrthold,Marvel,Earth-616,Secret Identity,Bad,Red,No Hair,Male,No,,Living,1,"1975, August 01",1975
Eight of Diamonds I,DC,New Earth,,Bad,,,Male,No,,Living,1,"2009, November",2009
Eight of Hearts I,DC,New Earth,,Bad,,,Female,No,,Deceased,1,"2009, October",2009
Eight of Spades I,DC,New Earth,,Neutral,,Blond,Female,No,,Living,3,"1990, July",1990
Eiji Hasegawa,DC,New Earth,,Bad,Brown,Black,Male,No,,Deceased,3,"1988, September",1988
Eileen Conroy,Marvel,Earth-616,Public Identity,Good,,Brown,Female,No,,Living,1,"1941, April 01",1941
Eileen Flowers,DC,New Earth,Public Identity,Good,,Blond,Female,No,,Living,15,"1988, April",1988
Eileen Harsaw,Marvel,Earth-616,Secret Identity,Bad,Blue,Blond,Female,No,,Living,14,"1992, January 01",1992
Eileen Snakard,Marvel,Earth-616,Secret Identity,Bad,,,Female,No,,Living,3,"1988, September 01",1988
Eilif,Marvel,Earth-616,,Good,,White,Male,No,,Living,5,"1984, April 01",1984
Eimin Worthington,Marvel,Earth-616,Secret Identity,Bad,No Eyes,Bald,Female,No,,Deceased,10,"2022, May 13",2013
Einar,Marvel,Earth-616,,,,,,No,,Living,2,"1986, May 01",1986
Eisenhower Canty,Marvel,Earth-616,Secret Identity,Good,Brown,Black,Male,No,,Living,21,"1992, March 01",1992
Eitri,Marvel,Earth-616,Public Identity,Good,Brown,Brown,Male,No,,Living,19,"1983, November 01",1983
Ejulp,Marvel,Earth-616,Secret Identity,,,,Male,No,,Living,3,"1999, May 01",1999
Ekak,Marvel,Earth-616,,Bad,,,Male,No,,Living,1,"1996, July 01",1996
